ratio,bin
0.4061150251606365,0.15
0.10190214399690103,0.3
0.006175976761892475,0.44999999999999996
0.008543280198360006,0.6
0.0020796963110632843,0.75
0.002155207220990487,0.8999999999999999
0.0,1.05
0.0,1.2
0.0,1.3499999999999999
0.0,1.5
0.0,1.65
0.0,1.7999999999999998
0.0,1.95
0.0,2.1
0.0,2.25
0.0,2.4
0.0,2.55
0.0,2.6999999999999997
0.0,2.85
0.0,3.0
0.0,3.15
0.0,3.3
0.0,3.4499999999999997
0.0,3.5999999999999996
0.0,3.75
0.0,3.9
0.0,4.05
0.0,4.2
0.0,4.35
0.0,4.5
0.0,4.6499999999999995
0.0,4.8
0.0,4.95
0.0,5.1
0.0,5.25
0.0,5.3999999999999995
0.0,5.55
0.0,5.7
0.0,5.85
0.0,6.0
0.0,6.1499999999999995
0.0,6.3
0.0,6.45
0.0,6.6
0.0,6.75
0.0,6.8999999999999995
0.0,7.05
0.0,7.199999999999999
0.0,7.35
0.0,7.5
0.0,7.6499999999999995
0.0,7.8
0.0,7.949999999999999
0.0,8.1
0.0,8.25
0.0,8.4
0.0,8.549999999999999
0.0,8.7
0.0,8.85
0.0,9.0
0.0,9.15
0.0,9.299999999999999
0.0,9.45
0.0,9.6
0.0,9.75
0.0,9.9
0.0,10.049999999999999
0.0,10.2
0.0,10.35
0.0,10.5
0.0,10.65
0.0,10.799999999999999
0.0,10.95
0.0,11.1
0.001444819445312728,11.25
0.0,11.4
0.0,11.549999999999999
0.0,11.7
0.0,11.85
0.0,12.0
0.0,12.15
0.0,12.299999999999999
0.0018170815983095815,12.45
0.0,12.6
0.0,12.75
0.0,12.9
0.0,13.049999999999999
0.0,13.2
0.0,13.35
0.0,13.5
0.0,13.65
0.001814766844685796,13.799999999999999
0.0,13.95
0.0,14.1
0.0,14.25
0.0,14.399999999999999
0.0,14.549999999999999
0.0,14.7
0.0,14.85
0.0,15.0
0.0,15.149999999999999
0.0,15.299999999999999
0.0,15.45
0.0,15.6
0.0,15.75
0.0,15.899999999999999
0.0015723973212745164,16.05
0.0,16.2
0.0,16.349999999999998
0.0,16.5
0.0,16.65
0.0,16.8
0.0,16.95
0.0,17.099999999999998
0.0014536652786513774,17.25
0.0,17.4
0.004173609296120873,17.55
0.001473207831518459,17.7
0.0,17.849999999999998
0.0014317507267082531,18.0
0.0,18.15
0.001391203098709326,18.3
0.0,18.45
0.0027264918145005375,18.599999999999998
0.0,18.75
0.0069087874542976095,18.9
0.0013619426128856117,19.05
0.00266030247073115,19.2
0.0,19.349999999999998
0.0015059111766117462,19.5
0.0033878524924531054,19.65
0.0036111330116008387,19.8
0.006079339856659191,19.95
0.008793777611586331,20.099999999999998
0.008467114253055161,20.25
0.006275735564213792,20.4
0.010825166968666648,20.55
0.007131874708768615,20.7
0.008848397348301434,20.849999999999998
0.011787404032548127,21.0
0.004912386114057003,21.15
0.01262296685004521,21.3
0.006949229136958687,21.45
0.015697983174397034,21.599999999999998
0.010338113012169046,21.75
0.014664917369905465,21.9
0.0064461175252331715,22.05
0.01930922855073611,22.2
0.019694819904283838,22.349999999999998
0.014906044561338887,22.5
0.02094988195701078,22.65
0.02751812132242657,22.8
0.015581474705527398,22.95
0.02442157668131196,23.099999999999998
0.026269071843966978,23.25
0.021390269866013976,23.4
0.03184631832510874,23.55
0.02297728988833381,23.7
0.030267534838736492,23.849999999999998
0.04231461306168171,24.0
0.03147110397076551,24.15
0.04684756862135351,24.3
0.07058789055784885,24.45
0.17304365774659453,24.599999999999998
0.5272437636205052,24.75
1.0654342784558741,24.9
1.8446190904456465,25.05
2.793548993358579,25.2
3.5316455458208904,25.349999999999998
3.851980908333512,25.5
3.5709519537891934,25.65
3.7107039522177567,25.8
3.981282146323212,25.95
3.7207957738362443,26.099999999999998
3.8125183462850423,26.25
3.876758484109909,26.4
3.7676708761629274,26.55
3.5795891526880754,26.7
3.9192492370071945,26.849999999999998
3.7297638284708037,27.0
3.641524574137293,27.15
3.684999467929203,27.3
3.5806222576477986,27.45
3.7339089323144465,27.599999999999998
3.49727297052449,27.75
3.2605230853990004,27.9
3.2798745426645834,28.05
3.4033010998186617,28.2
3.310535547190073,28.349999999999998
3.0719448599758414,28.5
2.942283051668537,28.65
3.1415511876863986,28.799999999999997
2.8023663695731074,28.95
3.0872080414052636,29.099999999999998
3.108542379246136,29.25
2.7647636810818508,29.4
2.9037790876362384,29.549999999999997
2.8594574459588715,29.7
2.997170346360063,29.849999999999998
2.493035952883911,30.0
2.0985663138830613,30.15
1.4742046288552995,30.299999999999997
0.9039336448975229,30.45
0.6113572574814481,30.599999999999998
0.4440286669329447,30.75
0.3352207506550519,30.9
0.28480339997197623,31.049999999999997
0.29260734679383227,31.2
0.40592422131242,31.349999999999998
0.7512877511972311,31.5
1.2583895762176325,31.65
1.8140612245251395,31.799999999999997
1.9940291572656326,31.95
2.08225161973831,32.1
1.96019438155879,32.25
1.8015832331272574,32.4
1.9508620795040204,32.55
1.9533878855204558,32.699999999999996
1.7776959664031968,32.85
1.7741527654837506,33.0
1.9971459677053298,33.15
1.9825411846045005,33.3
2.02410776174624,33.449999999999996
1.9551040880503479,33.6
1.860873264831207,33.75
2.0362270193906267,33.9
2.01738784034095,34.05
2.02508453894296,34.199999999999996
1.769343230561033,34.35
1.395229380880921,34.5
0.9112199307406234,34.65
0.6062664628355319,34.8
0.43104982164080086,34.949999999999996
0.3630110337298294,35.1
0.36689692666759016,35.25
0.48752703078620485,35.4
0.5935272026556976,35.55
0.6261710010499852,35.699999999999996
0.6946800642905497,35.85
0.6406308539293641,36.0
0.6531320949160776,36.15
0.8319418746164454,36.3
1.0920785148298724,36.449999999999996
1.1927247899585989,36.6
1.3212108429548695,36.75
1.41347971119607,36.9
1.4139288595055362,37.05
1.2878786961053226,37.199999999999996
1.362749220756904,37.35
1.2667536578778296,37.5
1.4119663425913649,37.65
1.4824082057500412,37.8
1.3877490772211714,37.949999999999996
1.3903675412908374,38.1
1.496992760945894,38.25
1.2475355421371308,38.4
1.3088570269623612,38.55
1.352642883527206,38.699999999999996
1.367292157238491,38.85
1.4204264994711024,39.0
1.3423644421629886,39.15
1.480290305858506,39.3
1.4491924624074999,39.449999999999996
1.5463337159031936,39.6
1.5152095098253984,39.75
1.479628215721403,39.9
1.4022693068317755,40.05
1.3616145840229232,40.199999999999996
1.3758501015249318,40.35
1.3909236251159387,40.5
1.3550053909452164,40.65
1.4332652879812253,40.8
1.3354338359859848,40.949999999999996
1.2871845203543046,41.1
1.328391078342891,41.25
1.3153136487819015,41.4
1.4593381187613244,41.55
1.4426533610077734,41.699999999999996
1.4114822309931663,41.85
1.255605890752852,42.0
1.3483113609146538,42.15
1.5003245923349593,42.3
1.451510135358508,42.449999999999996
1.3589603645608495,42.6
1.3403087538901954,42.75
1.3893400610790092,42.9
1.3828675219821782,43.05
1.3701104103667872,43.199999999999996
1.414474132358712,43.35
1.4130723614344025,43.5
1.4606575926479837,43.65
1.2224410371380356,43.8
1.3008879081875426,43.949999999999996
1.459946810364482,44.1
1.3711220330683014,44.25
1.386841279229411,44.4
1.3963422738937,44.55
1.4308128987230633,44.699999999999996
1.4126373551207125,44.85
1.2920283687666094,45.0
1.3906225668630843,45.15
1.3701104103668695,45.3
1.4386769219627702,45.449999999999996
1.441801808993004,45.6
1.3539510487917792,45.75
1.3764638658779331,45.9
1.381983890656793,46.05
1.5896361650793995,46.199999999999996
1.3745387415899943,46.35
1.374538741590073,46.5
1.3979640857292694,46.65
1.4369439266003736,46.8
1.245338678451036,46.949999999999996
1.4108939733353678,47.1
1.341587291718396,47.25
1.365886259900435,47.4
1.3654723597358593,47.55
1.3539510487917392,47.699999999999996
1.2667266409465694,47.85
1.4708574769382978,48.0
1.3838893452743537,48.15
1.2658986290845624,48.3
1.3845432027491416,48.449999999999996
1.426439692885997,48.6
1.3821494661066036,48.75
1.3220506485363506,48.9
1.3700171154553884,49.05
1.2456320361602389,49.199999999999996
1.3158585624535521,49.35
1.4987488155106117,49.5
1.3363761328465145,49.65
1.466103262358171,49.8
1.4340014312870903,49.949999999999996
1.3358943788189763,50.1
1.4156435310345767,50.25
1.4338787525620647,50.4
1.367386854986583,50.55
1.3611486058545679,50.699999999999996
1.3980137646236355,50.85
1.5139933792995874,51.0
1.3659215185869464,51.15
1.4429264901044234,51.3
1.3849721237649113,51.449999999999996
1.3804974596241317,51.6
1.355604468327093,51.75
1.3117696773364036,51.9
1.5122591714197113,52.05
1.4000828638623384,52.199999999999996
1.465334741537208,52.35
1.466759895479586,52.5
1.292900491062926,52.65
1.069982114053998,52.8
0.8234983135505485,52.949999999999996
0.5482988234703646,53.1
0.4283026516457059,53.25
0.32765283075659635,53.4
0.34448994925472637,53.55
0.43639254314315923,53.699999999999996
0.6536260913688005,53.85
0.909916567073128,54.0
1.1732893798877415,54.15
1.1688959779090842,54.3
1.225727611352562,54.449999999999996
1.2300838402164251,54.6
1.3069160403819284,54.75
1.292547547373636,54.9
1.220823485083125,55.05
1.2647425654932367,55.199999999999996
1.2884302552198472,55.35
1.3385427934948149,55.5
1.2408301092274383,55.65
1.4528576868281962,55.8
1.3516295160686094,55.949999999999996
1.2399871452696722,56.1
1.3702717379408116,56.25
1.2936552108452208,56.4
1.2868407296577942,56.55
1.1364901327113777,56.699999999999996
1.2593730223527697,56.85
1.2944609755359824,57.0
1.182247591449681,57.15
1.1447614069365304,57.3
1.3204396479074119,57.449999999999996
1.2911369688266259,57.599999999999994
1.1821438086446223,57.75
1.279432127478569,57.9
1.1934914974442088,58.05
1.322115427843322,58.199999999999996
1.2935759476131903,58.349999999999994
1.2655599666814774,58.5
1.167510433107462,58.65
1.233508977885316,58.8
1.2848270395477566,58.949999999999996
1.2750770136380936,59.099999999999994
1.346671365750051,59.25
1.2313457525135831,59.4
1.1339207097070736,59.55
1.342661214061423,59.699999999999996
1.181907057309105,59.849999999999994
1.2722970628144479,60.0
1.298382274465182,60.15
1.2414989799189957,60.3
1.1910779972915968,60.449999999999996
1.253640936307428,60.599999999999994
1.1563246534712455,60.75
1.247515031294248,60.9
1.1099762019327186,61.05
1.1005615343106794,61.199999999999996
1.0336978341225525,61.349999999999994
0.9216552565200371,61.5
0.8720886223015957,61.65
0.8737792381447808,61.8
0.8376356236543706,61.949999999999996
0.8384009468106165,62.099999999999994
0.7858202928409852,62.25
0.8131015600670563,62.4
0.8454168543153078,62.55
0.835038985575428,62.699999999999996
0.8327508337957569,62.849999999999994
0.9234008203308968,63.0
0.8239531952388289,63.15
0.8897622220922236,63.3
0.8574376704125345,63.449999999999996
0.8413565318169955,63.599999999999994
0.9204600490861455,63.75
0.8906096520780868,63.9
0.91232431152499,64.05
0.8465237922746568,64.2
0.8267967616500026,64.35
0.9535886649048915,64.5
0.900927730008835,64.64999999999999
0.962087455790088,64.8
0.9430139667537377,64.95
0.8926970235769119,65.1
0.9585334070501402,65.25
0.8850277632738289,65.39999999999999
0.9115305129373868,65.55
0.8566511925215172,65.7
0.9256105464298353,65.85
0.9285664851247404,66.0
0.9787474481691822,66.14999999999999
0.9150484381406595,66.3
0.9795113624962921,66.45
0.960981984150487,66.6
0.9797027854712093,66.75
1.00019535554661,66.89999999999999
1.0143858022575583,67.05
1.0013771499061752,67.2
0.945627699343762,67.35
0.9756019815620551,67.5
1.0476301360449016,67.64999999999999
1.0237847477747155,67.8
1.0356484456936939,67.95
0.9798741220899528,68.1
0.9794984891965403,68.25
0.9535633297826037,68.39999999999999
0.9942016488842749,68.55
0.9994258158638829,68.7
1.007972830418044,68.85
1.0300107431236798,69.0
1.025880838630216,69.14999999999999
0.9976350283897888,69.3
0.9796701450318929,69.45
0.9897091452540233,69.6
1.0009319279075495,69.75
0.9632692945066775,69.89999999999999
1.0102544454743698,70.05
0.9110611062956224,70.2
0.9377318945757954,70.35
0.9388141285996492,70.5
0.9684550126840714,70.64999999999999
0.9417133999250976,70.8
0.9353849711708597,70.95
0.8973657473274735,71.1
0.9016889211874768,71.25
0.9110532655225895,71.39999999999999
0.9043174911070565,71.55
0.9402591088513209,71.7
1.1024332073822312,71.85
0.9939813621913635,72.0
1.080490910500518,72.14999999999999
1.1741728137153709,72.3
1.1166847615058333,72.45
1.0454583587782786,72.6
0.9010555781715556,72.75
0.7603468599252854,72.89999999999999
0.6742857504592563,73.05
0.5782402812073915,73.2
0.5665092751336366,73.35
0.6101282793790006,73.5
0.7055390285640926,73.64999999999999
0.7948394588047901,73.8
0.9137225578399786,73.95
0.9936474416208121,74.1
1.0112536317149268,74.25
1.2429789391861652,74.39999999999999
1.166459799571577,74.55
1.2512691503132078,74.7
1.0116489342499362,74.85
0.810895830504287,75.0
0.5831578003312181,75.14999999999999
0.4739242245684912,75.3
0.386455433368028,75.45
0.3942413563983748,75.6
0.44465008881173856,75.75
0.5364204343072337,75.89999999999999
0.6137930243719015,76.05
0.7535641948973586,76.2
0.8186142361855492,76.35
0.842524982488378,76.5
0.8990143519426791,76.64999999999999
0.9343575973341756,76.8
0.8726678394999261,76.95
0.8993827853478108,77.1
0.8753051548251664,77.25
0.861157844400261,77.39999999999999
0.8932452360797168,77.55
0.9269447501377903,77.7
0.9307125836184342,77.85
0.8689265176105918,78.0
0.9060823946418153,78.14999999999999
0.9209778789525112,78.3
0.8842536044868338,78.45
0.896470124776198,78.6
0.7999218324304312,78.75
0.788265567601277,78.89999999999999
0.7746833996681587,79.05
0.8360281532150062,79.2
0.8026925899893506,79.35
0.778625038747566,79.5
0.6451515940791459,79.64999999999999
0.5050252194074021,79.8
0.3939097947836681,79.95
0.3873855822594266,80.1
0.4609960836103713,80.25
0.6065271849813304,80.39999999999999
0.7238977289367154,80.55
0.7781178476941936,80.7
0.7321130018515264,80.85
0.6251048267988978,81.0
0.4682715212130044,81.14999999999999
0.31671327292215695,81.3
0.2015614725072041,81.45
0.12262834015005143,81.6
0.0831996619853318,81.75
0.07779792889015837,81.89999999999999
0.10617861998881684,82.05
0.20738698160310148,82.2
0.44701702858825837,82.35
0.6509468308519082,82.5
0.8649308407953608,82.64999999999999
0.9627125443043951,82.8
0.9523299765211772,82.95
1.001543251788713,83.1
0.8555294186128025,83.25
1.0210948246315854,83.39999999999999
1.0126373141941327,83.55
0.8981923551168726,83.7
1.02264016964812,83.85
0.941426164024897,84.0
1.0948691354527686,84.14999999999999
1.0112674160897859,84.3
1.1221439371966317,84.45
0.9071694168164439,84.6
0.8368641813660719,84.75
0.7099858373918294,84.89999999999999
0.6370358697825327,85.05
0.5244730870234876,85.2
0.4483140873733518,85.35
0.3777016182215374,85.5
0.3931175786434408,85.64999999999999
0.42171279320768346,85.8
0.5613684572710513,85.95
0.642623766910572,86.1
0.6581547239026876,86.25
0.7816345338993994,86.39999999999999
0.7877838764149562,86.55
0.8459761856914255,86.7
0.8594496567599023,86.85
0.9466643433980343,87.0
0.920608963732243,87.14999999999999
0.9039451308971826,87.3
0.7136005579412705,87.45
0.6488114957586254,87.6
0.560677813903427,87.75
