ratio,bin
0.39231930698962447,0.15
0.10051334368743242,0.3
0.006054988324274959,0.44999999999999996
0.008364046660304601,0.6
0.002029180674981035,0.75
0.0019355261822896024,0.8999999999999999
0.0,1.05
0.0,1.2
0.0,1.3499999999999999
0.0,1.5
0.0,1.65
0.0,1.7999999999999998
0.0,1.95
0.0,2.1
0.0,2.25
0.0,2.4
0.0,2.55
0.0,2.6999999999999997
0.0,2.85
0.0,3.0
0.0,3.15
0.0,3.3
0.0,3.4499999999999997
0.0,3.5999999999999996
0.0,3.75
0.0,3.9
0.0,4.05
0.0,4.2
0.0,4.35
0.0,4.5
0.0,4.6499999999999995
0.0,4.8
0.0,4.95
0.0,5.1
0.0,5.25
0.0,5.3999999999999995
0.0,5.55
0.0,5.7
0.0,5.85
0.0,6.0
0.0,6.1499999999999995
0.0,6.3
0.0,6.45
0.0,6.6
0.0,6.75
0.0,6.8999999999999995
0.0,7.05
0.0,7.199999999999999
0.0,7.35
0.0,7.5
0.0,7.6499999999999995
0.0,7.8
0.0,7.949999999999999
0.0,8.1
0.0,8.25
0.0,8.4
0.0,8.549999999999999
0.0,8.7
0.0,8.85
0.0,9.0
0.0,9.15
0.0,9.299999999999999
0.0,9.45
0.0,9.6
0.0,9.75
0.0,9.9
0.0,10.049999999999999
0.0,10.2
0.0,10.35
0.0,10.5
0.0,10.65
0.0,10.799999999999999
0.0,10.95
0.0,11.1
0.0016811920068885188,11.25
0.0,11.4
0.0,11.549999999999999
0.0,11.7
0.0,11.85
0.0,12.0
0.0,12.15
0.0,12.299999999999999
0.001644564730046026,12.45
0.0,12.6
0.0,12.75
0.0,12.9
0.0,13.049999999999999
0.0,13.2
0.0,13.35
0.0,13.5
0.0,13.65
0.0015628472279357038,13.799999999999999
0.0,13.95
0.0,14.1
0.0,14.25
0.0,14.399999999999999
0.0,14.549999999999999
0.0,14.7
0.0,14.85
0.0,15.0
0.0,15.149999999999999
0.0,15.299999999999999
0.0,15.45
0.0,15.6
0.0,15.75
